content,date,title,url
    4月25日，2018年（新加坡）全球品牌策划大赛中国地区选拔赛在云南昆明落下帷幕。此次比赛共有来自全国26个省市、自治区、直辖市和特别行政区的148所高等院校500支参赛队伍报名，参与师生人数达5000余人。经过专家评审，最终共有来自山东大学、福州大学、郑州大学、中南财经政法大学等130所院校的258支团队入围中国地区选拔赛总决赛。经过封闭答辩、项目展洽、视频展示等激烈的角逐，我校经济管理学院/建筑工程学院王红君、黄婷婷两位老师指导的团队——“君意豆豉品牌策划工作室”（项目名为“君意豆豉·源自于家乡的味道”）代表我校参加了比赛，荣获2018年（新加坡）全球品牌策划大赛中国地区选拔赛暨中国（昆明）品牌策划项目展示交流会一等奖、2018年（新加坡）全球品牌策划大赛中国地区选拔赛国赛决赛二等奖两个奖项。,4月27日,我校学子荣获2018年（新加坡）全球品牌策划大赛中国地区选拔赛国赛决赛二等奖,https://www.cqwu.edu.cn/article_251132.html
    近日，2018年美国大学生数学建模竞赛评审结果正式揭晓。我校共组织了6支队伍参加比赛，经过队员们顽强拼搏，取得了历史性的创新高成绩，其中一等奖(Meritorious Winner)1项、二等奖(Honorable Mentions)1项，实现了我校在此赛事一等奖的突破。,4月25日,我校学子在2018年美国大学生数学建模竞赛比赛中获得一等奖,https://www.cqwu.edu.cn/article_249661.html
    4月18日下午，永川区人民政府、重庆文理学院、携程网西南客服中心在我校志仁楼114室举办携程网海外客服人才培训班开班仪式。永川区委常委、区新城建管委党工委邓文书记，我校副校长漆新贵，永川区教委、科委、新城建管委、就业局、携程网西南客服中心、永川职教城各院校相关负责人以及来自重庆文理学院、重庆水利电力职业学院、重庆大学城市科技学院、重庆城市职业学院的60余名培训班学员出席开班典礼。,4月19日,我校举办携程网海外客服人才培训,https://www.cqwu.edu.cn/article_248866.html
    为践行习近平总书记生态文明建设重要战略思想，提高重庆市环境法制工作人员依法行政能力和水平，4月10日—4月13日，由国家生态环境部政策法规司主办，重庆市环保局、重庆文理学院和永川区环保局联合承办的第三十六期全国环境法制岗位培训（重庆）班在我校举行。重庆市环保、公安、检察和法院各局级部门和重庆市各区县环保局共计122名学员参加了此次培训，永川区23个镇街环保办和我校材料与化工?学院30余人也受邀旁听学习。,4月14日,加强环境执法，建设美丽中国——第三十六期全国环境法制岗位培训（重庆）在我校成功举办,https://www.cqwu.edu.cn/article_246361.html
      日前，接《教育部关于公布2017年度普通高等学校本科专业备案和审批结果的通知》（教高函〔2018〕4号）文件，我校申报的园艺、环境科学与工程、数据科学与大数据技术等3个本科专业获准设立，自2018年起开始招生。同时，运动康复专业学位授予由教育学转为理学，林学专业撤销。,4月3日,我校获批新增3个本科新专业,https://www.cqwu.edu.cn/article_244550.html
      近日，团中央学校部下发文件公布2017年全国高校“活力团支部”名单，我校宿舍团总支一支部经过校内创建、省级遴选、网络投票、专家评审和公示等环节脱颖而出，荣获2017年全国高校“活力团支部”荣誉称号。全国高校共有1000个团支部被确定为2017年全国高校“活力团支部”，其中重庆市高校有25个支部入选。,3月30日,我校荣获2017全国高校“活力团支部”荣誉称号,https://www.cqwu.edu.cn/article_243291.html
      3月23日上午，我校与重庆长江轮船有限公司在恪勤楼308会议室举行校企合作签约仪式。重庆长江轮船有限公司总经理助理刘铭友，重庆长江轮船有限公司船员公司总经理王江洪以及常务副总经理任华高、副总经理刘杭、总经理助理何国义，我校副校长漆新贵，教学部、学工部、合作发展部、旅游学院、机电工程学院、外国语学院等相关单位负责人参加了签约仪式。会议由教学部副部长王大平主持。,3月27日,我校与重庆长江轮船有限公司举行校企合作签约仪式,https://www.cqwu.edu.cn/article_242738.html
      3月16日下午，重庆市第八批第二期援藏专技干部行前动员会在重庆市人力社保局举行。市人力社保局副局长何振国、市委组织部综合干部处处长张翱及相关区县人力社保局负责人、援藏专技干部等60余人参加了本次会议。我校党委副书记刘灿国作为重庆市高校唯一代表出席会议并作了发言，我校数学与财经学院教师税小华作为本次援藏专技干部人选参加了会议。,3月20日,学校领导出席重庆市第八批第二期援藏专技干部行前动员会并发言,https://www.cqwu.edu.cn/article_241604.html
      3月15日上午，我校男篮在第二十届CUBA西南赛区16进8淘汰赛中，以92:73战胜广西师范大学，强势晋级西南赛区八强。本场比赛，我校球队核心球员刘航砍下25分11篮板10助攻，段丰伟命中9记三分、砍下全场最高的31分，龚文超12分9篮板。,3月15日,【CUBA赛况快报】我校男篮挺进第二十届CUBA西南赛区八强,https://www.cqwu.edu.cn/article_241204.html
      3月6日上午，由重庆市妇联、市检察院、重庆文理学院共同主办的以“建设法治中国·巾帼在行动——增强女性法治意识，共创幸福美好生活”为主题的重庆市2018年“三八”妇女维权活动启动仪式在我校恪勤楼304报告厅举行。重庆市妇联党组成员、副主席杨廷会，永川区委常委、政法委书记罗晓春，我校党委常委、副校长兰刚，重庆市检察院、司法局、综治办领导出席了启动仪式。永川区相关处室负责人，学校女教职工代表、女大学生代表共计300余人参加了会议。会议由永川区人民检察院检察长詹文渝主持。,3月7日,重庆市2018年“三八”妇女维权活动启动仪式在我校举行,https://www.cqwu.edu.cn/article_239372.html
"      近日，重庆市教育委员会发布《关于2017年教育系统众创空间绩效评估情况的通报》（渝教科发〔2018〕1号），我校“百川兴邦众创空间”获评“优秀高校众创空间”，“e创星空众创空间”获评“良好高校众创空间”。


此次绩效评估工作于2017年12月启动实施，以认定挂牌的101个重庆市教育系统众创空间为评估对象，由评审专家根据评估指标体系，通过材料审核和实地考察，就建立健全工作保障体系、提供创新创业指导服务、强化可持续发展能力建设、助推科技成果转移转化等方面进行了综合评价。重庆市教育系统共有29个众创空间评为“优秀”，40个众创空间评为“良好”。
",1月23日,我校通过2017年重庆市众创空间绩效评估并获佳绩,https://www.cqwu.edu.cn/article_232107.html
